Date,Category,Product,Sales Quantity,Stock Level,Weather,Local Event
2024-01-01,Fruits,Mango,48,140,Sunny,Sports Event
2024-01-01,Fruits,Banana,88,164,Sunny,None
2024-01-01,Fruits,Apple,37,63,Rainy,Sports Event
2024-01-01,Fruits,Orange,86,137,Cloudy,Holiday
2024-01-01,Fruits,Grapes,19,86,Cloudy,None
2024-01-01,Vegetables,Tomato,30,63,Sunny,None
2024-01-01,Vegetables,Potato,25,113,Cloudy,Festival
2024-01-01,Vegetables,Onion,41,109,Cloudy,None
2024-01-01,Vegetables,Carrot,89,120,Sunny,None
2024-01-01,Vegetables,Spinach,37,106,Sunny,None
2024-01-01,Dairy,Milk,75,127,Sunny,Holiday
2024-01-01,Dairy,Cheese,65,112,Rainy,None
2024-01-01,Dairy,Butter,43,111,Sunny,None
2024-01-01,Dairy,Yogurt,74,158,Rainy,None
2024-01-01,Dairy,Paneer,6,47,Sunny,None
2024-01-01,Beverages,Tea,20,90,Sunny,Festival
2024-01-01,Beverages,Coffee,80,139,Rainy,Sports Event
2024-01-01,Beverages,Juice,14,97,Cloudy,Festival
2024-01-01,Beverages,Soda,68,119,Cloudy,Sports Event
2024-01-01,Beverages,Energy Drink,30,117,Rainy,Festival
2024-01-01,Bakery,Bread,19,117,Rainy,None
2024-01-01,Bakery,Croissant,18,64,Sunny,None
2024-01-01,Bakery,Cake,62,109,Rainy,None
2024-01-01,Bakery,Biscuits,70,114,Rainy,None
2024-01-01,Bakery,Muffin,48,109,Cloudy,None
2024-01-01,Frozen Foods,Frozen Peas,56,98,Sunny,None
2024-01-01,Frozen Foods,Ice Cream,47,85,Sunny,Holiday
2024-01-01,Frozen Foods,Frozen Pizza,16,109,Sunny,None
2024-01-01,Frozen Foods,French Fries,89,180,Cloudy,None
2024-01-01,Frozen Foods,Chicken Nuggets,19,86,Rainy,None
2024-01-01,Snacks,Chips,46,125,Rainy,Festival
2024-01-01,Snacks,Popcorn,11,110,Cloudy,None
2024-01-01,Snacks,Cookies,31,90,Rainy,None
2024-01-01,Snacks,Chocolates,5,32,Sunny,Festival
2024-01-01,Snacks,Dry Fruits,52,75,Rainy,None
2024-01-02,Fruits,Mango,23,74,Sunny,Sports Event
2024-01-02,Fruits,Banana,50,85,Sunny,None
2024-01-02,Fruits,Apple,25,74,Sunny,None
2024-01-02,Fruits,Orange,32,110,Cloudy,None
2024-01-02,Fruits,Grapes,73,117,Cloudy,None
2024-01-02,Vegetables,Tomato,29,68,Rainy,None
2024-01-02,Vegetables,Potato,9,89,Sunny,None
2024-01-02,Vegetables,Onion,54,79,Cloudy,Festival
2024-01-02,Vegetables,Carrot,15,100,Cloudy,None
2024-01-02,Vegetables,Spinach,77,99,Rainy,None
2024-01-02,Dairy,Milk,25,72,Rainy,None
2024-01-02,Dairy,Cheese,89,143,Rainy,None
2024-01-02,Dairy,Butter,51,128,Cloudy,None
2024-01-02,Dairy,Yogurt,52,93,Sunny,Sports Event
2024-01-02,Dairy,Paneer,15,49,Cloudy,None
2024-01-02,Beverages,Tea,88,123,Rainy,None
2024-01-02,Beverages,Coffee,44,91,Cloudy,None
2024-01-02,Beverages,Juice,77,116,Sunny,Sports Event
2024-01-02,Beverages,Soda,91,173,Cloudy,None
2024-01-02,Beverages,Energy Drink,29,95,Rainy,None
2024-01-02,Bakery,Bread,25,101,Sunny,None
2024-01-02,Bakery,Croissant,18,113,Sunny,Festival
2024-01-02,Bakery,Cake,81,179,Rainy,None
2024-01-02,Bakery,Biscuits,10,52,Cloudy,None
2024-01-02,Bakery,Muffin,50,107,Rainy,Sports Event
2024-01-02,Frozen Foods,Frozen Peas,76,157,Cloudy,None
2024-01-02,Frozen Foods,Ice Cream,82,126,Rainy,Holiday
2024-01-02,Frozen Foods,Frozen Pizza,91,132,Sunny,None
2024-01-02,Frozen Foods,French Fries,55,77,Rainy,None
2024-01-02,Frozen Foods,Chicken Nuggets,32,96,Cloudy,None
2024-01-02,Snacks,Chips,77,115,Cloudy,None
2024-01-02,Snacks,Popcorn,42,114,Sunny,None
2024-01-02,Snacks,Cookies,85,134,Sunny,None
2024-01-02,Snacks,Chocolates,56,89,Cloudy,None
2024-01-02,Snacks,Dry Fruits,63,160,Rainy,None
2024-01-03,Fruits,Mango,72,99,Rainy,None
2024-01-03,Fruits,Banana,90,150,Cloudy,None
2024-01-03,Fruits,Apple,20,101,Sunny,None
2024-01-03,Fruits,Orange,16,70,Cloudy,Holiday
2024-01-03,Fruits,Grapes,54,94,Sunny,None
2024-01-03,Vegetables,Tomato,71,134,Sunny,Festival
2024-01-03,Vegetables,Potato,77,157,Sunny,None
2024-01-03,Vegetables,Onion,85,169,Sunny,None
2024-01-03,Vegetables,Carrot,44,139,Rainy,None
2024-01-03,Vegetables,Spinach,51,85,Sunny,None
2024-01-03,Dairy,Milk,56,97,Sunny,None
2024-01-03,Dairy,Cheese,24,72,Cloudy,None
2024-01-03,Dairy,Butter,75,122,Rainy,Festival
2024-01-03,Dairy,Yogurt,71,156,Rainy,None
2024-01-03,Dairy,Paneer,5,96,Cloudy,None
2024-01-03,Beverages,Tea,90,134,Rainy,None
2024-01-03,Beverages,Coffee,16,41,Rainy,Holiday
2024-01-03,Beverages,Juice,87,171,Sunny,None
2024-01-03,Beverages,Soda,44,77,Cloudy,None
2024-01-03,Beverages,Energy Drink,88,163,Sunny,None
2024-01-03,Bakery,Bread,53,118,Sunny,None
2024-01-03,Bakery,Croissant,47,86,Sunny,None
2024-01-03,Bakery,Cake,89,157,Rainy,None
2024-01-03,Bakery,Biscuits,58,86,Sunny,None
2024-01-03,Bakery,Muffin,21,61,Cloudy,Sports Event
2024-01-03,Frozen Foods,Frozen Peas,59,119,Cloudy,None
2024-01-03,Frozen Foods,Ice Cream,15,53,Cloudy,None
2024-01-03,Frozen Foods,Frozen Pizza,50,114,Sunny,None
2024-01-03,Frozen Foods,French Fries,23,118,Sunny,Festival
2024-01-03,Frozen Foods,Chicken Nuggets,16,96,Sunny,Sports Event
2024-01-03,Snacks,Chips,96,184,Sunny,None
2024-01-03,Snacks,Popcorn,91,140,Sunny,Sports Event
2024-01-03,Snacks,Cookies,53,119,Rainy,None
2024-01-03,Snacks,Chocolates,72,124,Cloudy,None
2024-01-03,Snacks,Dry Fruits,23,70,Sunny,None
2024-01-04,Fruits,Mango,19,79,Cloudy,None
2024-01-04,Fruits,Banana,33,126,Rainy,Sports Event
2024-01-04,Fruits,Apple,81,110,Rainy,None
2024-01-04,Fruits,Orange,77,135,Cloudy,Festival
2024-01-04,Fruits,Grapes,31,52,Sunny,None
2024-01-04,Vegetables,Tomato,20,79,Rainy,None
2024-01-04,Vegetables,Potato,16,70,Cloudy,None
